Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium 2 (Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	15:10:00	15:15:04	15:20:03	15:25:03	15:30:04	15:35:03	15:40:04	15:45:04	15:50:04	15:55:04	16:00:04	16:05:04	16:10:04	16:15:04	16:20:04	16:25:04	16:30:04	16:35:04	16:40:04	16:45:04	16:50:04
Diameter Midpoint
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																					
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
D50(nm)	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41
Median(nm)	9.23203	8.95014	8.86953	8.89813	8.86918	8.89017	8.91331	9.0287	8.57811	8.92399	9.17093	8.86145	8.78056	8.50484	9.26992	9.10933	9.01611	9.03701	8.59407	9.31631	8.77574
Mean(nm)	15.6675	14.4288	14.2796	14.4461	14.2601	13.9648	13.5179	13.6135	13.3844	14.1123	13.9455	14.1124	13.8763	13.4692	15.048	14.5509	14.8343	14.3066	13.8941	14.2981	14.1666
Geo. Mean(nm)	11.7549	11.122	11.0328	11.1806	10.994	10.8662	10.7864	10.8538	10.5725	11.0816	11	10.9347	10.7626	10.5954	11.4199	11.199	11.3801	11.1004	10.7901	11.1359	10.8697
Mode(nm)	7.91476	7.10497	7.10497	7.10497	7.10497	7.36525	7.10497	7.10497	7.36525	7.36525	7.36525	7.63506	7.10497	7.10497	7.63506	7.10497	7.63506	7.63506	7.10497	7.63506	7.10497
Geo. Std. Dev.	1.84151	1.78167	1.76717	1.77597	1.77216	1.75132	1.70804	1.70756	1.72227	1.73731	1.73137	1.76052	1.75502	1.73528	1.80835	1.77754	1.79187	1.76398	1.76593	1.75098	1.78363
Total Concentration(#/cm³)	2546.15	4001.15	5119.08	5707.42	6831.76	7631.95	7642.79	5628.82	4258.9	3147.84	2651.79	2219.43	2110.71	1850.26	1601.06	1707.3	1741.49	1822.18	1862.76	1848.63	1648.7
Comment																					
