Sample File	D:\OlinCollege\All_data\OlinCollege\HEPAir X\Cool1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17
Start Time	19:25:22	19:30:26	19:35:26	19:40:26	19:45:26	19:50:26	19:55:26	20:00:26	20:05:26	20:10:26	20:15:26	20:20:26	20:25:26	20:30:26	20:35:26	20:40:26	20:45:26	20:50:26	20:55:26	21:00:26	21:05:26	21:10:26	21:15:26
Diameter Midpoint
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																							
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
D50(nm)	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41
Median(nm)	14.783	32.4116	9.51643	8.95675	8.91505	9.00292	9.33318	9.62894	9.94682	10.2606	10.477	11.0856	11.2959	11.8887	14.2724	15.8539	19.4687	17.2017	18.638	18.7232	21.8114	19.0168	18.6669
Mean(nm)	19.1988	42.6396	15.9727	13.6666	13.3509	13.7867	14.9013	15.9087	15.9797	16.928	17.9297	19.5265	19.9832	21.0347	25.2594	25.7959	29.3447	27.0647	28.256	27.4462	31.362	25.287	27.8651
Geo. Mean(nm)	15.4474	35.5928	11.9749	10.7671	10.6091	10.8165	11.3663	11.8639	12.1588	12.5974	13.0857	14.0017	14.2159	14.8883	17.6758	18.4165	21.963	19.5665	21.7317	21.0178	24.8554	20.0955	21.822
Mode(nm)	9.13982	26.896	7.10497	7.10497	7.10497	7.10497	7.10497	7.10497	7.36525	7.36525	7.63506	7.36525	7.36525	7.10497	8.81683	7.91476	10.9411	7.36525	13.5773	12.1881	21.6739	12.6346	13.5773
Geo. Std. Dev.	1.75297	1.77035	1.85795	1.71658	1.69425	1.72236	1.79116	1.8462	1.82677	1.87668	1.93262	1.99103	2.01102	2.04065	2.1291	2.06545	1.98423	2.07881	1.88668	1.90902	1.84324	1.81575	1.83405
