Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Medium1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017
Start Time,19:12:35,19:17:38,19:22:38,19:27:38,19:32:38,19:37:38,19:42:38,19:47:38,19:52:38,19:57:38,20:02:38,20:07:38,20:12:38,20:17:38,20:22:38,20:27:38,20:32:38,20:37:39,20:42:38,20:47:38,20:52:38,20:57:39
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
31.1,2247,6800.81,4955.02,4125.53,4840.78,4445.26,4935.93,8236.94,6558,7004.9,6732.43,6252.78,5257.4,6020.2,4341.17,5358.68,4665.62,4377.39,4743.02,4175.54,3407.14,3871.7
32.2,2817.28,5619.24,5252.05,4127.97,4475.84,4231.45,4562.99,7906.18,7574.77,6120.74,6402.43,4878.48,5436.24,5025.64,5046.95,4526.74,4776.19,3996.88,3952.26,4460.78,3950.92,3512.77
33.4,2201.49,5746.23,4761.05,4497.87,4143.24,4040.3,3879.45,6465.23,6037.58,5997.71,6022.14,5278.42,4765.03,4205.49,4672.53,4179.71,3732.99,4533.46,4007.72,3515.06,3889.23,3564.36
34.6,2255.23,6218.86,4754.33,5106.94,3575.01,3858.02,3569.07,6443.73,5452.81,6044.82,5488.94,5271.58,4115.22,4553.82,4618.44,4148.32,3908.83,4203.59,3700.54,2796.78,3111.89,3661.01
35.9,1992.98,5936.11,3970.2,4142.09,4021.75,3597.47,4006.81,6269.68,6159.08,4889.97,5254.64,5051.79,4042.67,4334.91,4253.49,3964.17,3920.11,4270.04,4093.04,3427.79,3358.2,2918.84
37.2,2266.31,4357.15,3937.21,4353.59,3575.17,3815.05,3831.93,6498.44,5198.76,5332.72,4950.48,4932.26,4142.73,4306.82,4005.24,3937.51,3810.2,3225.92,4296.56,3043.46,3265.56,3588.57
38.5,1719.7,4895.43,4200.72,3679.73,3867.87,3554.64,3225.63,5638.93,5444.17,4892.7,5853.63,4304.01,4348.58,4319.48,3699.06,3936.59,2982.63,3769.82,3330.98,3269.77,3222.43,2628.53
40,1692.34,5034.67,3569.27,3845.86,3720.16,3006.07,2813.43,5869.55,4747.23,4555.61,4884.6,3761.03,4815.97,4003.75,3420.49,2715.05,3436.16,3540.93,3596.53,3271.52,2555.42,3055.2
41.4,1397.11,3419.8,3230.26,3330.64,3458.4,2746.59,2845.89,4744.65,5323.99,4384.44,4170.47,4243.25,4006.8,2924.85,3347.56,3073.06,3277.47,2975.1,3043.92,3283.9,2824.89,3047.11
42.9,1790.94,4549.92,3456.88,2942.11,3096.71,2910.75,3266.72,5199.36,4952.43,4677.32,4111.7,4541.17,3964.98,3487.24,3446.79,3335.45,3558.92,2561.22,2456.57,2632.89,3000.34,2100.16
44.5,1959.53,3847.09,3625,2742.23,3259.01,2591.76,2742.46,4941.15,4762.42,4232.24,4432.99,4399.38,3989.96,2968.41,3138.59,3074.8,3070.54,2827.7,3106.05,2592.91,2012.68,2354.56
46.1,1986.04,3531.28,3447.56,2780.07,2575.31,2534.34,2406.8,5403.79,4912.03,4163.87,4558.98,3232.58,3037.26,2940.4,2994.02,2822.75,3201.51,2875.9,2262.92,2227.07,2260.06,2267.65
47.8,1268.05,2738.81,2944.15,3001.99,2557.9,2461.18,2638.53,4349.49,3135.24,4252.68,3608.98,3156.41,3051.42,2796.57,2782.33,2556.9,2471.8,2415.85,2463.27,2431.32,2507.28,2224.75
49.6,1822.76,3111.09,3259.61,2896.94,2663.89,2595.95,2503.95,5223.84,3744.41,4017.56,3265.08,3550.48,3118,2525.43,2047.42,3193.59,2657.3,2386.82,2394.26,2407.37,2196.24,2075.05
51.4,1317.53,2947.4,2661.4,2500.42,2431.23,2365.67,2207.05,4603.19,4090.58,3216.18,3276.49,3076.62,3124.38,2373.42,2986.55,2667.52,2411.79,2031.25,2691.32,2193.58,1721.11,1920.75
53.3,1305,2760.21,2906.22,2370.47,2454.55,1826.54,2385.48,4128.09,3996.27,3527.46,3128.27,3162.22,2948.14,2729.8,3034.78,2617.64,2528.53,2357.03,2442.16,2367.4,1952.77,2122.98
55.2,1308.29,3290.4,2573.01,2120.6,1972.53,2432.81,2170.1,4646.19,4454.85,3425.07,2993.47,2818.37,2549.39,2959.08,2492.92,2453.83,2398.24,2348.81,2458.47,1832.17,2428.82,2369.94
57.3,1284.65,3056.01,2465.59,2631.94,1964.67,2108.45,2373.2,4003.29,3843.05,3253.95,2879.55,2879.6,3137.03,2855.25,2352.23,2262.63,2303.66,2058.91,2149.01,1865.3,1850.74,1853.63
59.4,953.064,2615.69,2150.25,1841.21,2231.63,2271.26,1855.49,4416.07,3008.82,3151.98,3136.59,2891.46,2303.56,2793.93,2602.55,2372.13,1998.43,1932.42,1899.79,2323.64,1746.93,1909.23
61.5,1314.05,3515.68,2524.05,2136.15,2065.53,2286.65,1814.79,4054.52,3180.37,2802.42,2567.04,2070.69,2508.36,2555.57,2059.06,2858.87,2038.22,2007.4,2161.37,2096.39,1953.92,1353.78
63.8,1209.18,2877.1,2054.53,2383.82,2215.93,2029.16,1895.89,3696.88,3240.38,2814.64,2546.33,2310.29,2387.63,2273.04,1714.57,1942.66,1810.58,2017.94,2118.41,1944.65,1576.28,1625.72
66.1,996.105,2648.84,2147.41,2250.82,2120.71,1973.86,2189.42,3730.03,2673.92,3046.06,2872.81,2572.18,2211.11,2359.03,2319.39,2152.64,1848.24,1953.17,1864.1,1774.69,1694.5,1742.46
