Sample File	D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Date	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17	03/22/17
Start Time	13:07:00	13:12:03	13:17:04	13:22:04	13:27:04	13:32:04	13:37:04	13:42:04	13:47:04	13:52:04	13:57:04	14:02:04	14:07:04	14:12:04	14:17:04	14:22:04	14:27:04	14:32:04	14:37:04	14:42:04	14:47:04	14:52:04	14:57:04	15:02:04
Diameter Midpoint
 41.4	1167.09	1538.23	1065.31	899.073	590.257	531.503	493.905	365.566	1819.86	1927.89	1002.95	942.01	642.495	415.773	306.081	103.369	311.307	198.685	76.6565	229.535	360.948	667.596	330.975	230.365
 42.9	1094.61	1621.38	986.118	555.915	683.822	510.045	450.173	639.166	1994.31	1460.23	1120.87	852.035	498.691	704.316	336.107	456.442	242.274	158.586	172.489	158.304	697.053	513.491	310.095	270.536
 44.5	1287.72	1401.77	1195.45	726.233	406.49	255.502	503.221	184.146	1582.41	1716.42	1174.04	564.45	366.138	427.304	289.149	221.809	90.4317	192.103	407.833	215.244	573.979	211.106	398.273	263.743
 46.1	1368.52	1542.68	1022.02	597.048	663.639	512.203	414.079	390.943	1796.71	1511.89	893.052	605.62	512.134	505.511	456.162	238.586	193.378	246.436	289.238	94.1152	316.976	357.809	169.277	223.074
 47.8	1319.76	1170.66	923.509	656.436	523.84	520.932	199.678	403.207	1415.44	933.345	765.88	728.316	395.379	478.66	614.319	234.03	343.283	194.66	231.412	142.748	298.48	368.242	204.109	167.554
 49.6	1058.54	1103.12	828.96	716.604	459.407	582.303	499.157	407.039	1143	1287.41	567.83	470.776	337.443	406.434	232.716	211.687	306.375	108.854	235.51	126.966	237.655	223.68	207.235	180.109
 51.4	1034.63	1356.36	1085.59	958.407	412.809	500.52	217.912	538.113	1248.44	969.596	622.527	548.652	410.568	531.083	294.878	106.866	194.387	129.797	137.33	195.497	287.184	169.86	282.601	179.912
 53.3	1241.62	1190.88	930.94	761.438	462.653	738.348	323.028	445.855	979.411	1063.56	646.125	396.95	397.176	223.352	226.054	253.037	120.828	224.67	99.0236	167.482	197.744	223.716	219.974	109.768
 55.2	1041.06	1080.19	693.249	450.696	546.908	251.311	358.157	697.106	986.746	484.644	552.917	357.956	292.122	357.257	286.582	339.504	116.831	105.978	160.541	173.659	229.758	276.137	217.348	161.365
 57.3	1140.84	1380.64	850.83	729.039	564.875	401	532.771	451.906	1140.88	628.614	448.137	369.251	181.365	264.134	248.203	100.723	181.968	122.78	191.302	138.214	296.652	275.432	379.771	134.834
 59.4	879.448	842.964	939.33	680.349	416.1	368.455	462.147	409.621	787.467	658.905	504.058	365.495	178.376	478.612	271.716	157.276	193.01	52.9678	42.7428	45.9637	338.943	115.37	366.327	87.8834
 61.5	1308.5	612.953	547.702	533.155	396.567	459.442	289.021	436.459	927.827	709.002	496.77	457.012	206.689	226.365	215.903	242.125	180.688	221.423	78.3205	195.672	125.967	136.029	157.658	164.298
 63.8	1234	994.788	574.077	558.651	401.499	335.16	462.145	409.268	588.306	696.371	483.704	219.975	229.619	477.697	325.363	129.587	198.063	56.4521	102.553	105.838	233.234	133.747	158.209	205.108
 66.1	852.261	680.332	604.816	584.846	484.569	422.668	302.663	377.088	662.484	633.377	349.337	495.524	227.52	213.764	304.162	294.699	239.66	81.7386	49.8802	12.2646	349.863	78.3865	215.11	76.5444
 68.5	1128.51	894.988	651.906	827.202	537.863	203.122	439.382	392.575	803.512	520.269	285.841	249.859	273.589	339.788	99.6723	73.1901	179.139	163.99	76.2297	152.054	181.722	307.353	148.438	190.709
 71.0	938.285	617.784	698.215	614.126	593.352	347.013	453.2	305.212	602.414	533.608	191.599	349.29	246.551	400.727	148.105	13.0434	184.395	176.173	122.613	190.903	215.343	233.473	70.7091	170.193
 73.7	719.67	834.643	576.591	357.03	470.687	312.838	278.626	413.602	672.233	343.648	215.663	356.454	151.778	338.187	183.53	165.321	103.717	122.332	14.437	229.151	319.941	110.716	117.391	201.079
 76.4	1094.98	686.557	446.89	464.734	392.85	244.093	236.963	461.694	756.277	590.467	178.604	219.949	172.815	261.898	197.075	161.104	0	154.48	130.973	181.594	199.228	297.878	68.5729	71.176
 79.1	885.088	809.868	373.063	591.2	574.757	305.047	282.688	567.904	467.236	524.283	250.215	294.351	218.549	187.712	198.542	1.24023	157.002	66.8142	171.971	174.834	76.0497	156.858	191.474	71.9891
 82.0	715.591	619.639	618.872	525.217	540.77	404.537	249.97	246.487	724.12	438.704	277.353	87.5882	201.366	391.558	169.52	95.9539	285.161	76.1384	141.514	30.57	252.269	320.014	51.8595	241.337
 85.1	1014.28	634.085	709.342	649.727	426.254	321.099	202.687	386.519	725.449	329.377	369.25	347.085	404.851	626.818	150.847	78.0073	73.6976	94.0133	91.7614	193.93	311.418	261.101	256.219	117.982
 88.2	848.512	1135.15	810.703	584.811	455.911	349.515	348.318	533.495	557.578	299.668	271.531	157.287	424.296	396.981	299.09	143.384	223.815	103.198	180.029	104.08	195.09	250.842	167.053	157.659
 91.4	792.681	579.029	866.85	545.888	495.441	326.654	153.835	473.188	542.999	594.774	238.888	294.386	277.168	179.4	226.082	260.867	206.536	68.4248	180.499	142.723	336.841	211.402	240.5	207.322
 94.7	1028.53	703.405	810.742	516.523	615.623	224.829	407.676	416.114	740.11	591.682	395.628	266.031	245.405	246.78	168.91	218.29	191.021	192.881	124.138	92.6821	347.099	196.864	161.556	115.612
 98.2	879.231	903.379	814.957	462.219	563.601	419.009	500.369	387.377	578.376	410.926	301.494	327.315	349.924	282.267	78.6283	150.501	134.417	94.7811	51.3748	176.313	326.429	239.742	172.653	270.426
101.8	588.516	1089.24	742.313	530.213	545.931	489.47	577.747	334.856	409.331	411.233	316.068	267.019	240.786	358.319	279.368	288.685	113.383	89.0641	142.036	150.14	387.72	192.381	422.569	163.436
105.5	1233.48	1311.01	1065.69	771.404	462.123	649.795	615.254	549.76	614.971	576.349	376.193	367.99	291.631	309.344	417.298	419.028	242.901	177.279	147.511	194.594	420.014	288.374	299.124	240.09
109.4	1517.28	1207.89	1195.96	1164.82	925.313	635.04	750.082	618.26	877.224	625.608	618.177	505.648	424.249	438.695	448.211	328.334	263.715	213.208	388.356	218.139	218.139	356.963	253.949	380.924
113.4	1353.47	1437.2	1322.59	933.58	744.664	616.107	704.22	699.691	802.111	484.352	441.787	336.454	465.514	725.826	348.641	468.066	339.079	224.47	140.744	284.183	351.049	425.07	293.602	236.154
117.6	1726.73	1417.87	1152.6	796.656	943.766	859.234	783.815	643.398	856.825	615.374	603.547	475.502	435.105	521.196	414.482	414.482	222.223	232.11	279.199	338.278	421.175	281.848	179.723	352.754
121.9	1450.18	1273.1	1421.79	1018.61	949.568	764.345	802.885	863.778	883.252	516.826	422.89	237.436	471.69	495.646	346.952	231.301	191.589	252.251	193.065	308.716	406.369	446.081	356.804	323.761
126.3	1616.01	1468.79	1003.88	970.949	813.087	743.365	853.795	578.703	680.862	525.447	487.681	429.036	405.77	300.249	438.283	279.925	197.594	374.309	338.015	229.056	372.418	290.087	257.155	283.783
131.0	1437.78	1321.78	1373.54	1275.32	762.669	733.688	839.247	733.953	712.052	541.636	383.788	422.898	344.677	488.551	350.696	246.198	180.545	311.851	137.324	492.396	400.201	318.135	268.63	291.593
135.8	1476.99	1517.54	1123.12	896.829	886.567	792.554	647.549	576.528	821.171	630.922	526.647	229.074	559.372	444.835	409.325	270.949	294.523	327.248	278.426	363.023	483.66	310.886	294.788	202.449
140.7	1339.03	1506.5	1165.39	1076.75	848.462	702.266	977.828	537.79	790.905	515.291	614.261	376.953	295.589	463.12	396.98	351.398	295.007	180.282	81.9463	259.173	407.842	249.477	360.564	223.339
145.9	1795.77	1175.51	778.591	997.114	791.365	720.205	702.346	479.014	716.561	529.71	284.598	197.021	376.86	534.518	261.931	216.32	182.043	214.88	213.439	197.021	255.406	357.56	317.712	229.857
151.2	1540.4	1209.35	1205.06	879.742	699.03	662.701	700.466	510.323	737.402	516.051	442.077	369.42	353.755	467.659	390.084	275.471	162.296	391.521	229.225	254.807	311.091	340.255	314.553	147.359
156.8	1354.44	1198.89	1009.19	1007.24	850.15	683.115	735.307	584.986	778.888	648.354	360.937	302.491	467.885	394.366	272.343	103.359	229.687	213.281	196.875	230.304	311.718	346.479	159.757	147.656
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																								
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
