Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low 1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,15:17:14,15:22:18,15:27:18,15:32:18,15:37:18,15:42:18,15:47:18,15:52:18,15:57:18,16:02:18,16:07:18,16:12:18,16:17:18,16:22:18,16:27:18,16:32:18,16:37:18,16:42:18,16:47:18,16:52:18,16:57:18,17:02:18
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
53.3,345.706,1067.66,1067.4,836.787,735.024,616.737,499.192,984.825,795.866,752.381,397.249,262.912,64.3303,89.1373,82.2442,187.129,38.6953,47.5786,155.206,68.1998,20.4281,68.2237
55.2,832.139,987.037,825.495,807.692,535.861,445.737,581.259,720.831,689.905,521.304,405.818,237.738,193.972,285.315,152.06,85.424,64.0982,39.2022,15.6183,20.5287,46.8019,0
57.3,549.208,857.09,1080.31,608.747,698.081,675.867,643.728,969.67,709.108,751.685,367.164,162.201,160.977,98.9526,106.727,57.2926,40.7875,19.1909,106.836,54.8602,59.6067,44.2604
59.4,763.275,731.943,793.497,854.099,637.077,683.044,415.64,784.508,577.89,598.758,384.279,173.855,191.456,214.312,119.095,40.5149,58.0486,133.32,15.0354,0,63.2929,0
61.5,1039.88,800.239,986.864,571.433,610.508,545.393,406.443,862.297,541.492,183.979,303.298,304.041,129.623,119.419,162.024,122.479,17.9144,85.5429,0,47.5967,2.87662,66.5594
63.8,811.909,697.101,695.329,792.267,837.463,573.55,478.97,654.772,641.679,373.426,352.422,266.989,207.977,130.886,107.015,3.5953,0,40.2453,55.9816,57.9873,139.299,21.0258
66.1,724.652,477.722,906.17,725.351,506.619,483.863,396.597,900.96,490.268,469.344,239.609,336.274,121.046,145.479,126.122,80.9843,15.4725,112.676,71.2334,20.6531,32.9748,13.6417
68.5,646.193,739.836,867.743,538.164,707.785,382.524,456.221,726.904,750.244,379.872,345.591,245.026,113.261,157.407,128.18,38.5938,77.8168,30.6311,57.1982,11.7254,43.2237,59.1495
71,586.514,744.349,558.676,573.823,536.872,476.294,498.558,892.658,616.328,477.502,367.937,126.487,215.071,171.607,111.818,165.966,62.8574,70.2163,2.17814,19.1173,34.9005,111.293
73.7,596.545,632.089,650.717,489.125,483.86,545.808,287.14,674.482,479.148,429.527,230.003,278.619,78.0847,104.165,100.176,54.8139,11.9648,0,51.4667,0,10.7306,7.59757
