Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017
Start Time,14:25:00,14:30:03,14:35:03,14:40:03,14:45:03,14:50:03,14:55:03,15:00:03,15:05:03,15:10:03,15:15:03,15:20:03,15:25:03,15:30:03,15:35:03,15:40:04,15:45:04,15:50:03,15:55:03,16:00:03,16:05:04,16:10:04,16:15:04,16:20:04,16:25:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
105.5,454.42,695.956,689.849,723.237,745.909,530.514,609.147,513.839,435.849,558.125,566.996,217.94,155.38,144.532,47.1511,32.0377,47.1511,33.8488,11.4912,13.3023,16.9244,33.8488,0,0,32.0377
109.4,529.776,980.321,735.887,565.587,567.837,623.191,699.909,723.787,589.548,507.982,632.79,304.456,184.579,83.8996,33.5599,16.7799,0,16.7799,16.7799,0,0,0,0,0,16.7799
113.4,508.653,718.241,1007.6,601.655,558.803,510.774,627.647,689.624,768.965,512.895,549.241,532.524,133.733,0,102.421,50.1499,33.4333,33.4333,16.7166,16.7166,0,0,0,0,16.7166
117.6,437.754,788.405,657.329,743.419,560.502,591.557,731.429,682.236,580.275,679.042,427.867,321.699,182.372,39.8513,31.055,16.5793,0,33.1586,16.5793,23.272,0,0,16.5793,0,0
121.9,307.24,814.213,646.757,558.015,648.998,782.646,731.606,555.062,446.081,528.154,682.041,325.237,99.1291,42.8952,99.1291,33.043,33.043,0,0,26.3737,0,49.5646,0,0,16.5215
126.3,411.655,617.94,673.087,725.428,650.872,597.555,476.049,609.249,656.201,719.123,813.087,245.522,164.662,65.8648,0,32.9324,16.4662,0,0,0,0,16.4662,0,0,0
131,540.839,1006.96,652.683,766.779,662.812,632.16,475.983,704.971,707.942,773.329,714.491,311.32,98.4792,32.8264,65.6528,16.4132,0,16.4132,16.4132,0,0,16.4132,0,0,0
135.8,543.803,805.337,666.697,631.716,644.234,559.637,529.697,655.29,592.361,412.64,644.234,278.69,130.899,49.0872,16.3624,0,16.3624,32.7248,0,0,0,0,32.7248,0,0
140.7,348.395,794.543,834.545,775.681,600.292,705.321,651.26,387.866,778.153,585.12,620.319,278.617,114.725,98.3356,0,16.3893,0,16.3893,0,16.3893,0,32.7785,16.3893,0,32.7785
145.9,637.351,812.868,648.684,577.926,544.688,654.532,493.63,665.102,697.939,612.203,458.952,296.972,114.929,131.347,32.8368,0,0,16.4184,0,0,0,16.4184,0,0,32.8368
151.2,463.349,1027.1,582.98,617.164,726.757,597.208,390.084,592.189,759.504,530.278,628.518,286.117,98.2393,65.4929,130.986,16.3732,16.3732,0,0,16.3732,0,0,32.7464,0,0
156.8,459.991,482.244,517.104,610.62,668.35,733.974,611.952,468.502,630.615,509.209,602.725,302.491,278.906,70.5467,32.8124,16.4062,32.8124,0,49.2186,32.8124,0,0,16.4062,0,16.4062
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Inlet Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Low Voltage,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554
High Voltage,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87
Lower Size(nm),6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831,6.97831
Upper Size(nm),159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634,159.634
Density(g/cc),1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Title,,,,,,,,,,,,,,,,,,,,,,,,,
Status Flag,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
td(s),2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
tf(s),0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657,0.783657
D50(nm),1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41,1284.41
Median(nm),8.81002,9.67956,9.06951,9.04199,8.92855,9.00683,9.0479,9.00348,8.80161,8.66767,9.14606,8.55471,8.8677,8.76219,8.62002,8.65873,8.91463,9.90944,8.39457,8.02439,7.86863,8.75575,8.50574,11.8946,8.72012
Mean(nm),13.7042,16.5105,14.3676,14.0689,13.7924,13.9538,14.1884,14.2115,13.7989,13.6963,14.8242,12.5904,13.2783,12.6767,13.4562,12.2692,12.2157,19.13,11.7744,12.9452,14.4871,13.4512,12.0331,17.2605,16.9707
