Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	14:26:39	14:31:43	14:36:43	14:41:43	14:46:43	14:51:43	14:56:43	15:01:43	15:06:43	15:11:43	15:16:43	15:21:43	15:26:43	15:31:43	15:36:43	15:41:43	15:46:43	15:51:43	15:56:43	16:01:43	16:06:43	16:11:43	16:16:43	16:21:43	16:26:43	16:31:43	16:36:43	16:41:43	16:46:43	16:51:43
Diameter Midpoint
 27.9	240.183	92.3059	91.8941	140.339	381.572	282.181	236.37	276.137	465.95	223.921	324.799	232.528	622.901	2614.73	1304.83	415.63	612.351	233.43	234.688	42.7785	138.705	94.8842	45.6996	0	47.4883	46.483	0	0	0	0
 28.9	174.123	180.637	41.7049	176.722	439.674	665.636	258.142	669.92	458.284	442.883	504.657	256.824	263.125	1919.52	1463.53	546.719	667.454	39.717	89.2808	88.5786	43.6102	106.327	44.2426	45.3073	0	0	0	0	0	0
 30.0	126.616	67.8234	41.31	211.517	298.036	402.677	332.024	505.555	519.228	504.911	450.124	422.799	249.493	2709.68	1082.68	816.585	516.387	101.533	235.961	110.315	85.7904	27.1985	40.9391	0	85.6199	24.3168	0	0	0	39.0976
 31.1	0	176.857	77.6604	77.6795	308.498	368.214	548.042	442.92	494.808	240.849	242.854	554.729	315.353	2431.3	1301.08	408.634	638.548	290.828	52.2394	56.3276	0	81.0881	80.9037	0	0	15.9258	81.4768	0	0	0
 32.2	231.942	37.326	113.101	231.754	344.188	272.719	294.72	467.931	469.178	345.949	267.691	163.032	396.432	2009.83	925.462	693.476	388.419	280.532	150.514	155.419	0	37.2237	35.942	0	39.3314	38.2652	118.213	39.3333	38.5731	0
 33.4	223.08	71.7789	71.8521	103.748	104.342	211.649	329.914	372.86	291.998	483.003	554.326	370.621	638.005	1917.81	1223.49	626.147	255.787	185.499	0	146.827	37.6969	0	35.5776	37.6969	35.8602	36.4107	0	0	37.4525	37.4292
 34.6	67.52	281.49	101.236	102.27	283.549	316.824	179.405	235.407	219.492	130.283	322.217	417.054	382.615	1491.39	1016.82	340.055	423.702	289.515	177.736	110.698	35.9774	0	0	0	0	0	0	0	0	34.8286
 35.9	170.927	167.428	169.713	130.674	337.206	201.988	362.909	473.599	459.746	436.636	296.353	203.071	295.29	1293.87	916.142	462.212	167.113	258.106	235.835	130.636	32.9548	0	0	33.7304	69.0457	0	32.446	102.563	34.6564	68.1845
 37.2	68.8523	194.464	189.964	91.4169	289.423	154.951	151.309	422.304	319.381	320.016	325.147	311.755	185.514	1799.45	1218.05	405.447	339.27	58.4803	126.487	64.5113	64.2125	0	0	0	32.2415	0	0	0	0	33.0288
 38.5	147.854	61.1218	187.653	250.25	368.48	236.748	145.884	182.308	45.182	344.089	342.753	275.55	204.856	1317.66	988.766	334.253	299.905	59.568	86.4214	30.1325	62.0619	30.4363	0	0	31.1145	0	64.0395	0	0	0
 40.0	24.3342	86.1722	90.5735	56.1491	422.37	323.114	270.862	260.619	259.7	417.062	219.624	253.494	169.954	1607.07	858.319	346.922	264.48	118.379	88.4727	149.74	118.821	0	56.3779	27.5384	0	30.3752	30.935	0	0	0
 41.4	104.815	21.5523	107.69	133.219	273.605	194.025	163.082	286.153	338.113	288.027	305.924	333.01	247.32	1154.36	850.475	399.382	256.231	135.36	25.8023	58.7414	53.662	28.556	26.8972	1.66064	0	27.3341	0	0	56.4623	0
 42.9	59.7079	24.5294	33.0042	87.4748	317.606	270.573	328.82	270.461	193.341	309.577	202.526	193.225	226.014	1590.29	463.716	260.478	223.319	285.115	139.465	52.8225	0	0	56.0183	0	0	54.5911	57.0505	26.9491	56.3645	113.271
 44.5	73.8794	103.178	104.188	110.013	280.985	258.938	147.434	261.006	176.408	131.723	93.0772	147.633	154.08	915.578	586.591	455.026	297.054	152.071	103.418	23.2854	49.7873	26.6128	26.6778	25.9504	80.6101	0	26.2898	0	0	0
 46.1	124.16	46.3427	130.349	96.6657	264.93	224.861	67.1332	123.345	248.462	229.867	149.255	214.727	142.959	1092.49	678.008	400.502	147.54	69.5459	178.22	20.9781	20.3179	53.7218	79.6777	0	0	26.8609	0	0	24.5942	0
 47.8	48.7905	43.8413	42.4642	195.214	141.786	299.049	195.262	202.374	217.036	99.6044	247.16	167.922	91.9925	988.997	483.008	287.784	139.573	110.996	69.4715	100.382	0	22.0153	50.6996	0	24.9989	24.9241	49.9342	24.7863	0	0
 49.6	99.8386	167.61	166.142	111.193	265.362	191.089	112.48	219.195	143.361	272.083	170.749	251.043	219.868	608.049	658.499	565.351	212.292	158.612	45.5774	73.7311	0	70.3298	0	0	74.4576	22.9746	0	0	22.9874	25.1726
