Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\High1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
Date	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17	04/07/17
Start Time	15:04:28	15:09:31	15:14:31	15:19:31	15:24:31	15:29:31	15:34:31	15:39:31	15:44:31	15:49:31	15:54:31	15:59:31	16:04:32	16:09:32	16:14:31	16:19:31	16:24:31	16:29:32	16:34:32	16:39:32	16:44:32	16:49:32	16:54:32	16:59:32	17:04:32	17:09:32	17:14:32
Diameter Midpoint
151.2	1981.21	1864.15	1649.66	2256.49	1914.96	2039.57	1646.44	1915.29	1987.64	1970.1	1932.15	1608.15	1217.9	300.373	0	0	0	37.9484	37.9484	148.579	0	37.9484	0	0	34.7337	75.8968	0
156.8	2214.89	1841.14	1806.41	1752.67	1910.9	1969.68	1717.35	1375.37	2088.43	1957.21	1817.68	2044.19	1022.4	341.985	75.9966	0	37.9983	37.9983	0	0	37.9983	37.9983	0	37.9983	0	0	37.9983
162.5	2059.25	1862.74	1848.29	2099.75	2059.25	2135.36	2401.74	2131.56	1500.93	1578.94	1752.92	2112.23	835.285	266.378	38.054	0	38.054	0	38.054	76.1079	0	0	76.1079	0	0	36.1513	76.1079
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452	25.5452
