Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\High2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	10:04:00	10:09:04	10:14:04	10:19:04	10:24:04	10:29:04	10:34:04	10:39:04	10:44:04	10:49:04	10:54:04	10:59:04	11:04:04	11:09:04	11:14:04	11:19:04	11:24:04	11:29:04	11:34:04	11:39:04	11:44:04	11:49:04	11:54:04	11:59:04	12:04:04
Diameter Midpoint
126.3	206.975	230.572	328.086	316.436	278.873	228.195	288.997	258.072	272.593	82.0216	368.087	107.084	16.4043	16.4043	0	16.4043	0	0	16.4043	0	0	0	0	0	0
131.0	251.57	192.416	114.477	286.444	179.628	228.69	234.952	196.247	267.924	114.213	414.845	55.3232	0	0	16.3539	0	0	0	0	0	0	16.3539	0	0	0
135.8	247.623	280.234	296.54	296.803	133.748	185.704	215.276	318.924	185.44	179.625	228.542	48.9167	32.6111	0	16.3056	0	0	0	16.3056	32.6111	0	0	0	0	0
140.7	176.635	339.979	160.3	274.641	192.969	238.928	258.307	170.545	144.546	264.978	301.272	36.2946	0	0	0	0	0	0	0	0	0	0	16.3345	0	0
145.9	196.387	245.484	212.753	245.484	196.387	868.813	163.656	163.656	210.556	110.927	370.58	29.0987	1.43598	32.7312	0	16.3656	0	0	0	0	0	0	16.3656	0	0
151.2	254.019	257.59	244.839	114.258	212.193	272.48	244.839	114.258	210.761	146.903	354.093	48.9677	14.8904	0	0	16.3226	16.3226	16.3226	0	0	16.3226	0	0	0	16.3226
156.8	138.017	302.919	196.288	315.697	413.841	226.039	184.838	229.003	130.859	103.051	176.967	53.9793	0	0	0	0	0	16.3574	0	0	0	0	0	16.3574	0
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																									
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
D50(nm)	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41
Median(nm)	8.01906	11.0676	8.98521	8.98599	9.24836	9.47259	9.33383	9.09377	9.1004	8.57862	10.5691	8.70818	8.65157	8.73597	7.75684	8.02288	8.0469	9.29987	7.2329	8.88079	7.21304	12.0859	8.91853	8.54995	9.39163
Mean(nm)	12.5288	17.0886	14.4666	15.4696	14.9009	14.9971	14.9631	14.7871	14.9328	13.4281	17.5957	11.9047	12.0266	11.3413	11.5141	15.9544	17.7109	15.0859	10.0157	12.7153	11.7539	17.4404	14.4996	12.0924	15.9103
Geo. Mean(nm)	10.0587	12.9639	11.1306	11.5025	11.4482	11.6785	11.4469	11.3804	11.4113	10.6292	13.3071	10.1054	10.2586	9.62612	9.42543	10.8962	12.2514	11.5601	8.52733	10.4404	9.14872	13.9888	10.632	10.1506	11.9076
Mode(nm)	7.91476	7.36525	7.10497	7.10497	7.91476	7.10497	7.10497	7.10497	7.63506	7.10497	7.10497	7.36525	7.36525	7.10497	7.63506	7.63506	7.91476	9.13982	7.10497	7.10497	7.10497	8.50526	7.36525	7.91476	7.63506
Geo. Std. Dev.	1.66893	1.86495	1.78528	1.85751	1.79213	1.77715	1.80151	1.79672	1.80032	1.72084	1.89732	1.57385	1.57371	1.54	1.59517	1.96684	2.02066	1.71705	1.50514	1.64497	1.697	1.76656	1.8235	1.56395	1.88072
Total Concentration(#/cm³)	3954.42	3372.67	3599.95	3021.79	3268.94	3618.38	3074.45	2953.34	2781.45	3273.13	4188.31	2044.99	417.014	140.119	90.6733	52.433	24.7129	30.1436	80.8064	52.8272	81.075	33.7661	78.8477	115.443	59.1786
Comment																									
