Sample File,D:\OlinCollege\All_data\OlinCollege\No Filter\Baseline1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017
Start Time,14:03:00,14:08:03,14:13:03,14:18:03,14:23:03,14:28:03,14:33:03,14:38:03,14:43:03,14:48:03,14:53:03,14:58:03,15:03:03,15:08:04,15:13:04,15:18:04,15:23:04,15:28:04,15:33:04,15:38:04,15:43:04,15:48:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
51.4,2379.45,60711.5,41272.9,21484.9,12852,12705.2,12104.8,12018.5,5851.22,5897.87,6360.1,5086.64,5081.17,4918.84,3126.33,2816.74,3174.56,2061.92,2565.6,2219.98,1733.75,1883.01
53.3,2238.16,57918.7,41203.8,19844.3,11653.2,11931.7,11423.3,10966,5231.35,5401.69,5117.04,4779.92,5110.65,4422.23,2715.37,2481.65,2804.98,2863.56,2291.17,2205.87,1874.79,1618.72
55.2,2140.67,52666,39848.5,18730.2,12276.5,11144.8,10791.5,10449.8,5152.96,5263.59,4652.55,4298.7,4836.76,4151.2,2334.07,2521.4,2407.03,2139.27,1718.1,1789.89,1926.74,1586.81
57.3,1995.97,47416.9,38123.8,19116.1,10590.1,10342.3,10344.3,9538.81,5381.47,4527.57,4725.38,4182.87,4442.62,2952.22,3004.37,2624.6,2309,2172.5,2139.94,1820.91,1599.98,1302.81
59.4,1891.68,45784.7,37023.8,18061,11763.1,9945.3,9770.68,9101.87,5061.66,4697.63,4494.95,4645.77,3938.37,3427.76,2700.14,2323.25,2218.55,1945.13,2496.88,1631.8,1817.72,1322.7
61.5,1611.72,44986.1,34731.2,17433.2,10831.3,10934.6,9133.58,9434.26,5238.18,4306.89,3936.24,4389.66,3528.5,3401.12,2441.74,2268.01,2254.79,1879.31,2084.64,1809.06,1549.87,1531.99
63.8,1270.37,42428.5,34095.2,15907.2,9658.79,10412.7,8777.91,8388.63,4317.25,4012.88,3926.34,3648.94,2894.1,2669.51,2100.76,2028.2,1824.18,1695,2006.93,1541.04,1451.3,1291.1
66.1,1119.88,42764.7,31688.8,14375.8,9306,9434.34,8692.99,7927.63,4342.38,4374.69,3590.37,3679.62,3247.2,2866.01,2282,1969.56,1883.05,2079.2,1655.68,1250.99,1415.67,1260.37
68.5,1226.11,40029.4,31969,14279.4,9757.21,9233.52,8469.02,8529.53,4448.51,3811.49,3872.08,3973.49,3889.23,3019.19,2202.38,1805.69,1692.89,2167.08,1584.1,1213.08,1145.9,1282.58
71,1312.03,36332.2,29367.9,12917.7,8879.42,8377.81,8003.27,8521.48,3738.66,3852.16,3699.9,3583.65,3453.24,2880.14,2259.81,1817.86,1628.85,1387.08,1585.52,1029.8,1372.96,1198.8
73.7,904.153,34901.1,26881.7,12967.8,9209.99,8255.06,6468.75,7363.35,3783.58,3060.65,3648,3009.95,2833.1,2588.81,1730.95,1323.95,1337.01,1698.24,1800.6,1408.79,1023.77,990.758
76.4,872.789,31088.2,26999.6,12467.2,9143.55,8414.47,6768.93,7301.14,3655.34,3756.7,2586.48,3157.73,2736.58,2394.5,1596.37,1828.24,1586.8,1327.26,1416.2,1247.57,1303.76,709.396
79.1,912.116,34810.8,26248.1,12305.6,8218.92,7843.2,6429.81,6012.05,4296.69,2944.36,3402.46,3144.34,2456.8,2713.82,1973.01,1525.23,1766.94,1432.15,1671.89,1038.88,894.888,1128.33
82,993.916,32981.5,25789.3,10693.2,8854.24,8350.66,5878.25,6073.59,3349.71,3265.44,3323.8,3274.97,3233.98,2667.23,2010.67,1809.59,1948.92,1129.02,1127.53,1433.07,1044.16,1074.42
85.1,1216.74,33020.5,28329.1,12617.5,9349.75,8084.07,7447.3,7749.11,4227.17,3533.03,3539.24,2650.43,2901.99,2572.35,1966.34,1702.33,1391.6,1600.03,1339.38,1363.04,1241.44,1060.68
88.2,967.405,35469.7,28283.7,12279.9,8353.3,7882.46,6959.76,7491.7,3990.25,3027.91,3450.07,3169.05,3029.04,2526.74,1785.44,1871.92,1603.93,1764.91,1286.02,1343.77,1049.98,1489.42
91.4,1292.3,34606.8,26600.1,12190.1,8655.41,8082.47,7109.69,6509.76,4119.13,3355.53,3448.95,3661.51,3224.2,2884.44,1948.85,1768.36,1799.81,1848.5,1154.06,1246.49,1261.68,994.848
94.7,1076.21,33729.1,28481.5,10991.7,8831.6,8334.44,7777.65,6831.38,3653.5,3654.95,3648.81,3410.02,3228.33,2680.28,1715.56,1712.9,2086.06,1636.09,1551.41,1261.91,1120.46,1160.3
98.2,1032.96,32911.8,28391.5,11071.7,9143.82,8017.71,8104.59,6780.37,3896.84,4211.86,3418.43,3564.37,3311.43,2572.03,2110.98,1915.39,1783.14,1540.16,1644.06,1074.72,1348.04,1134.27
101.8,883.352,30217,28679.4,12091.3,9432.84,8299.39,7334.05,6123.42,3889.5,3448.73,3769.71,3721.72,3362.65,2994.42,1920.92,1758.42,1825.89,1716.88,1525.55,1082.26,1028.82,1230.96
105.5,1095.46,39191.4,32399.7,13749.3,11513.2,10879.5,9467.8,7562.52,5003.39,4473.63,4580.62,4226.09,4156.87,3565.2,2349.18,2158.87,2518.24,2075.91,1442.9,1661.11,1548.58,1565.12
109.4,1212.82,42274,35140.7,15030.5,12710.6,12264.4,11082.9,8623.9,5371.19,5330.46,4637.82,4841.34,4522.79,4156.39,2447.18,2372.62,2231.55,2281.96,1833.5,1833.5,1804.62,1694.68
113.4,1422.75,41681.7,35267.6,14994.8,12492.9,11747.6,11575.5,8095.42,5658.14,5352.78,5323.87,4793.33,4535.71,3907.77,2926.53,2458.75,2339.75,2566.42,1873.52,1620.65,1580.5,1754.53
117.6,1305.86,43532.6,34624.6,15948.6,12317.3,12287.5,10797.1,8766.42,5528.42,4900.21,4934.76,4634.78,4368.11,4188.69,2582,2726.62,2658.97,2251.73,2167.28,1462.86,1378.33,1594.95
121.9,995.416,42341,33872.2,15218.2,12550.1,11370.2,11579.7,8308.47,6155.91,5098.83,4851.95,4809.06,4208.91,3782.77,2916.59,2614.06,2381.92,2443.58,2086.78,1583.29,1509.29,1656.28
126.3,1067.3,44203.3,31744.9,14094,12397.7,11652.9,11327.5,8015.58,6381.27,5301.18,4679.43,4808.71,4245.08,3914.84,2562.09,2473.65,2665.86,2528.38,2053.31,1663.44,1427.17,1475.1
131,1195.7,42181.2,33243.7,14309.9,12502.5,11839,11425.5,8078.79,5433.32,5046.51,4908.71,4714.46,4071.29,3910.74,2527.07,2756.94,2497.56,2065.33,2226.76,1829.53,1511.66,1544.75
135.8,1112.59,38678.2,32603.8,14955.3,12042.5,11717.2,10587.8,8541.28,5202.82,4784.21,4706.64,4441.53,4149.26,4079.09,2444.58,2234.3,2202.72,2431,2254.33,1570.74,1534.7,1475.08
140.7,1071.85,39074.9,31886.7,14234.6,12283.3,11521.5,11234.9,8436.46,5289.76,4770.21,4931.67,4641.51,4119.48,3472.54,2242.13,2612.49,2344.69,2264.58,1895.48,1894.95,1539.28,1529.54
145.9,1195.98,38324.4,32711.8,14591.6,11555.9,11823.9,10229.7,7893.38,5479.84,4255.79,4729.68,4502.91,3869.21,3225.25,2189.05,2475.08,2099.67,2264.89,2100.43,1505.72,1391.83,1440.41
151.2,1205.16,37183.8,29489.9,13723.8,12140.7,11481.8,10486.5,7560.26,5335.04,4631,4623.93,4027.57,3922.9,3484.4,1961.69,2433.03,1985.23,1829.37,1576.73,1360.29,1179.36,1223.58
156.8,1025.7,35507,29971.7,12521.1,10804.8,11171.2,10810.9,7993.74,5281.89,4364.78,4450.81,3921.29,3738.47,3661.05,2125.43,2362.09,1909.89,2589.83,1841.39,1244.52,1042.31,1148.34
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Inlet Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
