Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17
Start Time	17:12:21	17:17:25	17:22:25	17:27:25	17:32:25	17:37:25	17:42:25	17:47:25	17:52:25	17:57:25	18:02:25	18:07:25	18:12:25	18:17:25	18:22:25	18:27:25	18:32:25	18:37:25	18:42:25	18:47:25	18:52:25	18:57:25	19:02:25
Diameter Midpoint
126.3	792.764	1090.07	1462.98	1251.37	1023.29	1031.42	1172.4	2727.86	1500.19	927.855	652.343	598.531	471.215	278.454	163.191	148.196	148.196	91.0215	123.954	107.488	86.1881	98.7972	148.196
131.0	668.566	976.572	1378.95	1065.45	1128.14	1146.46	1091.73	2714.51	1647.58	1269.3	678.96	465.323	350.696	229.785	163.867	98.4792	196.958	121.177	121.177	88.3502	160.287	98.2138	65.6528
135.8	936.237	1321.72	981.427	1072.71	1067.14	910.141	1080.18	2576.27	1332.51	874.102	677.224	323.615	327.513	267.899	134.214	114.537	32.7248	117.587	130.899	84.8622	114.537	49.3518	65.4496
140.7	951.16	949.27	765.933	1132.61	922.019	903.157	937.826	2238.49	1454.33	860.682	767.823	331.954	347.812	194.199	210.005	65.557	81.9463	78.8912	81.9463	177.227	36.4163	114.725	134.752
145.9	653.091	994.911	733.657	877.101	553.818	924.915	785.879	2259.8	1360.92	873.457	690.25	398.363	245.513	176.958	98.5103	83.5326	131.347	98.5103	214.88	114.929	144.121	65.6735	78.4477
151.2	637.017	728.903	825.705	731.776	765.13	929.691	973.792	2007.33	1175.29	884.761	679.783	270.453	357.338	81.8661	49.1197	145.922	78.2838	114.613	93.2204	49.1197	49.1197	61.9106	65.4929
156.8	651.228	681.166	730.385	853.432	716.852	822.26	640.459	1796.07	1124.13	729.669	462.964	320.229	272.343	229.687	65.6249	98.4373	36.402	82.0311	36.402	16.4062	54.1405	90.5425	82.0311
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
