Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Date	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17
Start Time	18:12:24	18:17:27	18:22:27	18:27:28	18:32:27	18:37:27	18:42:27	18:47:27	18:52:27	18:57:27	19:02:27	19:07:27	19:12:27	19:17:27	19:22:27	19:27:27
Diameter Midpoint
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
D50(nm)	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41
Median(nm)	14.6657	16.6219	11.0365	11.1517	12.589	12.0328	13.7193	15.8147	16.8936	15.3245	15.8929	16.561	16.6381	17.5024	18.0835	18.2013
Mean(nm)	20.556	26.1231	16.4928	17.1363	18.655	18.7458	20.3737	23.1555	24.8207	23.0594	24.9618	25.1817	25.2025	23.876	27.5684	26.0599
Geo. Mean(nm)	16.0474	19.5944	12.9639	13.2172	14.3006	14.2119	15.4612	17.5059	18.9084	17.7986	18.7627	18.9023	19.8279	18.8838	21.0216	20.5005
Mode(nm)	15.6788	14.5902	7.10497	7.63506	7.63506	7.10497	8.81683	7.36525	9.47464	8.50526	8.2047	13.5773	16.2531	18.1056	10.5545	16.2531
Geo. Std. Dev.	1.8107	1.97351	1.79166	1.84499	1.86608	1.88515	1.90764	1.93829	1.92043	1.8613	1.93336	1.92813	1.8061	1.82379	1.90065	1.81287
Total Concentration(#/cm³)	4297.81	4796.31	8554.16	4882.59	2583.74	1690.73	936.436	540.052	392.534	344.689	302.093	266.696	280.289	297.112	177.322	236.843
Comment																
