Sample File,D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017
Start Time,16:31:00,16:36:04,16:41:04,16:46:04,16:51:04,16:56:04,17:01:04,17:06:04,17:11:04,17:16:04,17:21:04,17:26:04,17:31:04,17:36:04,17:41:04,17:46:04,17:51:04,17:56:04,18:01:04,18:06:04,18:11:04,18:16:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
57.3,570.107,16993.4,13444.6,12185.6,11157.2,10705.5,10222.8,9156.94,6424.93,5376.43,4386.86,2989.89,2595.22,2037.14,1254.23,1002.66,837.74,511.722,590.794,462.905,582.655,410.198
59.4,331.076,14895,11760.6,10328.5,10636.3,10512,9634.43,7622.1,6103.83,4624.97,4023.59,3146.22,1934.04,1656.22,1398.45,970.298,828.969,541.718,542.645,386.866,412.661,356.569
61.5,349.255,14594.6,11055.6,9879.67,9570.51,9410.88,9523.51,7585.18,5372.71,4448.97,3854.16,2619.86,2166,1290.28,1073.38,754.123,622.584,633.935,563.368,554.34,397.66,157.884
63.8,152.76,13719.3,10001.8,9981.37,9097.78,8817.67,7779.92,7234.68,5200.89,4507.33,3448.97,2423.29,1680.33,1384.69,1131.62,761.086,769.281,470.748,374.161,562.708,342.802,181.715
66.1,259.971,12400,9129.17,9046.67,8802.44,7945.86,7869.04,7212.86,5369.68,3708.04,3421.45,2030.05,1795.76,1539.36,830.395,829.551,833.607,506.985,255.415,409.304,383.281,239.139
68.5,247.347,10786.5,8929.51,8844.64,8468.03,7908.85,6923.64,6645.69,4744.92,3891.85,2886.77,1959.61,1632.03,1092.96,1058.51,799.795,532.9,327.146,198.082,307.679,309.547,167.083
71,119.272,9450.71,8177.12,7738.84,7489.16,7216.95,6442.14,5959.64,4840.35,3407.57,2960,2116.64,1703.07,1431.39,1089.56,1112.28,509.196,541.552,424.656,291.848,228.044,148.328
73.7,143.036,9543.5,7716.76,6791.73,6315.33,6772.91,6146.38,5964.04,4506.42,3651.41,2179.71,1932.2,1674.47,1060.04,956.016,696.167,425.348,431.876,411.463,151.486,160.735,214.08
76.4,181.859,8358.84,6992.36,7053.49,6375.11,6527.4,6287.84,4825.46,4182.63,2730.63,1887.63,1670.48,1235.78,960.053,747.561,796.861,454.585,333.823,174.286,189.41,151.276,215.76
79.1,99.0971,8629.24,6393.32,6781.49,6249.37,5218.06,4787.55,4237.33,3961.83,2452.36,1942.17,1332.63,1169.04,832.689,848.959,603.795,375.186,275.919,357.419,235.292,150.507,98.2955
