Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017
Start Time,15:09:47,15:14:50,15:19:50,15:24:51,15:29:50,15:34:50,15:39:50,15:44:50,15:49:50,15:54:50,15:59:50,16:04:50,16:09:51,16:14:50,16:19:50,16:24:51,16:29:51,16:34:51,16:39:51,16:44:50,16:49:51,16:54:51,16:59:51,17:04:51
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
37.2,1859.92,14172.5,18418.2,19373,24520.4,28074.3,33425.6,39688.9,46653.6,38468.4,34804.7,27697.2,21855.7,19073.6,14776.6,10718.5,8478.35,6298.01,4808.61,3983.11,3027.21,2835.97,1910.94,1721.32
38.5,1846.6,10200.8,14532.2,15532.3,20709.1,22469.7,27806.2,31162.3,35077.9,31542.7,26901.2,20018.5,17751.7,13773.1,11278.4,8759.56,7299.08,5281.79,4761.05,3289.69,2705,2272.12,2027.95,1456.1
40,2160.87,8907.28,12371,12253.4,15383.7,16576.1,21390.9,23781,27764.1,24072.6,21732.6,17295.6,13654.8,10464.5,9102.11,6393.96,5258.78,3901.22,3227.45,3568.25,2265.33,1618.79,1805.68,1033.43
41.4,2616.22,7649.84,9117.75,11064.7,13002.6,13193,16863.5,17588.8,21635.8,19225.5,17237.2,12474.2,10387.1,8271.33,6315.96,5399.03,3574.7,2966.14,2440.51,2296.37,1786.19,1307.31,976.954,966.437
42.9,1680.36,7235.69,7944.58,8241.25,8586.92,9387.22,12204.3,14807.6,15266.6,14194.1,13135.5,9648.82,8488.82,6408.72,6094.97,3966.35,3291.35,2510.05,2341.27,1620.07,1413.7,1174.68,1138.55,637.204
44.5,1836.86,5693.87,6100.46,6113.01,7648.84,7585.08,8756.66,11169,12171.9,11197.6,9236.24,8073.65,6162.24,4775.44,3716.09,3092.62,2563.81,2286.25,1892.21,1430.76,1145.53,836.647,610.63,664.781
46.1,1952.93,4358.69,5124.89,5196.12,5662.16,6593.21,7037.97,7340.26,11080.9,9054.54,7480.16,6092.84,5146.94,4091.35,3172.63,2630.27,2287.99,1972.6,1072.02,1150.94,909.438,675.005,482.821,574.239
47.8,1606.55,4317.55,3875.86,4295.57,4893.82,4726.21,5523.3,6471.62,7323.23,7858.45,6003.42,5486.7,3473.57,2960.59,2765.91,1901.05,1364.29,1344.75,810.634,1140.11,793.517,610.774,297.991,362.637
49.6,1936.69,3841.36,3158.15,4015.24,3583.71,4266.91,4507.35,4560.04,6264.38,5940.95,4476.14,3195.57,2700.83,2328.37,1808.69,1630.62,927.242,1150.73,671.883,648.469,492.782,366.285,329.718,452.315
51.4,1711.19,2897.48,3273.63,3316.48,3385.35,3373.84,3215.49,3653.23,5545.97,4552.68,4530.79,2970.38,2444.31,2009.27,1698.14,1233.67,1312.05,921.501,609.04,556.108,443.405,342.912,365.435,152.745
53.3,1542.03,3508.03,3153.52,2665.58,3182.75,3109.03,2860.97,2649.8,5011.65,4885.76,3346.34,2515.14,1785.29,1698,1647.19,1181.86,811.657,744.491,629.252,386.517,461.224,204.78,446.356,243.983
55.2,1933.96,2816.87,2544.4,2328.73,2612.77,2574.86,2335.29,2561.12,3963.36,4245.13,2770.13,2604.69,1489.96,1245.06,1339.36,851.778,626.105,572.273,651.973,562.087,344.925,354.101,231.221,174.025
57.3,1810.15,2612.92,2418.79,2671.91,2593.02,2715.82,2398.33,2124.04,3645.14,3117.26,2614,1958.91,1423.86,1523.96,859.038,1156.98,552.183,459.663,352.898,392.15,166.798,256.169,230.743,252.01
59.4,2135.05,2379.43,2750.59,2605.64,2659.85,2610.68,2556.35,2177.78,3947.89,3454.81,2204.52,2198.69,1249.77,1156.08,756.8,755.294,722.658,508.494,482.211,549.321,350.52,133.763,120.127,40.277
61.5,2182.91,2150.03,2148.7,2596.77,2322.71,2377.7,2570.75,2213.26,3711.35,3384.59,2633.42,2171.48,1462.03,1116.81,711.709,669.534,713.69,522.568,507.919,431.911,277.378,239.797,258.033,215.39
63.8,2247.86,3610.84,2130.88,2207.21,2642.38,2379.64,2314.87,1751.29,4106.01,3029.39,2510.23,1554.31,1411.01,1109.06,635.065,752.809,534.764,423.829,311.855,301.264,301.121,206.382,178.973,158.015
66.1,1923.89,2778.54,2568.92,2469.74,2389.84,2150.51,2126.51,2349.11,3687.95,3281.52,2557.62,1800.03,1331.7,1235.75,860.758,630.498,325.511,555.829,331.389,310.011,288.801,269.205,198.147,143.427
68.5,2000.05,2608.32,2593.05,2336.49,1946.92,2469.59,1854.88,2099.75,3842.59,3182.48,2040.37,1611.76,1258.78,1073.56,905.775,628.215,340.313,526.484,509.209,248.357,125.985,183.857,138.146,192.173
71,1739.64,2789.39,2028.82,2381.05,1985.15,2304.4,2023.85,1798.06,3272.14,2761.91,1966.08,1783.79,1390.59,890.577,704.073,590.938,520.882,254.68,426.682,289.074,223.958,186.963,210.752,298.083
73.7,1662.22,2414.09,2147.4,2274.68,2070.45,2286.27,1882.6,2318.61,4287.78,2910.41,2072.64,1796.61,1321.72,1067.83,676.112,531.084,334.986,373.313,349.886,319.934,253.4,299.765,109.783,158.76
76.4,2130.16,1828.03,2257.18,1788.86,2096.32,1893.31,1989.62,2082.4,3560.06,2632.39,2146.05,1637.45,1238.14,1216.18,741.175,486.338,448.72,421.66,315.037,158.531,285.405,199.954,170.894,233.143
