Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017
Start Time,9:42:00,9:47:04,9:52:04,9:57:04,10:02:04,10:07:04,10:12:04,10:17:04,10:22:04,10:27:04,10:32:04,10:37:04,10:42:04,10:47:04,10:52:04,10:57:04,11:02:04,11:07:04,11:12:04,11:17:04,11:22:04,11:27:04,11:32:04,11:37:04,11:42:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
53.3,840.622,1308.06,1041.37,1237.04,1053.44,1019.48,1168.8,958.883,1007.98,563.444,1819.8,1733.94,1772.64,1513.75,1351.32,1414.73,1071.84,1231.96,1125.8,1462.01,1378.27,824.821,687.257,1056.72,674.673
55.2,1014.29,959.629,1141.97,940.738,1492.85,1046.14,923.969,1009.92,945.525,909.147,1368.34,1639.32,1515.03,1344.94,1169.12,1575.21,1252.95,1024.46,1109.54,1305.46,1239.56,968.376,993.838,1123.71,660.703
57.3,1066.77,959.316,1182.97,900.041,880.24,861.573,869.582,1205.68,687.934,824.032,1605.47,1890.48,1490.17,1296.91,1081.22,1439.99,1105.99,1083.91,1096.7,1049.9,814.775,1241.57,970.779,1316.65,910.53
59.4,922.765,1280.8,1315.78,862.637,990.929,962.375,840.767,942.538,762.029,783.912,1925.26,1703.57,1692.04,1361.93,1833.5,1059.72,1058.04,1525.12,966.603,869.469,571.171,603.413,694.788,816.768,916.449
61.5,684.276,1160,1103.9,625.597,747.842,823.285,1008.15,683.668,797.536,743.752,1392.92,1449.16,1591.83,1343.5,1283.06,1304.31,1044.82,820.194,1228.3,978.71,1038.84,855.571,640.914,776.043,733.784
63.8,944.732,803.136,886.204,788.505,774.076,810.473,600.9,667.113,542.753,773.026,1986.03,1494.16,1094.75,1306.72,1319.01,1220.44,1158.63,977.888,1269.32,595.719,1034.77,1100.28,741.844,991.337,825.632
66.1,1849.13,1085,836.656,870.232,926.045,674.102,846.327,740.533,565.564,735.512,1211.18,1483.5,1359.99,1421.31,1289.26,1350.43,1139.83,1006.22,1032.72,998.194,1032.5,775.47,906.933,759.542,717.768
68.5,807.687,854.375,739.879,775.441,1008.15,832.839,869.895,695.257,1071.06,531.781,1565.33,1241.83,1317.14,1216.9,1080.13,1048.85,988.296,1012.14,1011.19,1186.74,979.882,815.805,835.836,649.677,544.3
71,790.72,800.991,718.405,901.456,773.758,564.733,601.308,1449,896.502,854.733,1648.97,1125.77,1246.66,1237.78,989.458,1143.47,826.097,824.179,802.428,701.173,892.524,881.277,626.226,385.598,707.713
73.7,733.657,775.108,605.5,567.159,829.288,498.866,765.249,599.253,417.469,494.661,1171.26,1206.09,1065.88,902.741,928.727,772.652,1036.99,890.09,599.898,709.179,737.595,411.112,606.215,742.29,725.384
76.4,787.654,666.434,389.412,507.544,689.475,637.756,503.278,724.712,566.819,520.65,945.634,1152.47,1003.27,878.333,981.776,814.41,880.497,752.561,796.084,786.439,693.639,580.535,795.449,641.203,741.752
79.1,678.454,774.952,677.507,736.123,694.477,641.534,557.27,372.253,573.437,680.791,884.466,1125.91,1311.08,1008.46,741.335,1079.11,901.062,656.273,859.849,498.642,697.262,721.446,418.474,608.237,488.684
82,453.983,744.453,510.366,623.437,493.558,617.232,515.965,554.487,668.11,521.075,1314.13,1105.02,1113.95,1016.66,912.017,842.46,776.442,819.215,523.126,686.777,724.011,516.2,504.367,495.093,635.463
85.1,505.512,1166.43,678.033,500.875,588.242,635.382,559.761,567.949,573.639,648.305,1279.4,924.848,925.35,798.886,745.846,730.819,910.102,841.237,780.932,555.69,358.521,450.5,535.602,463.704,431.151
88.2,639.346,794.556,384.645,591.679,603.395,626.466,564.239,616.211,447.294,684.513,1244.28,952.859,1136.24,976.317,890.512,932.742,664.948,857.129,503.583,773.281,513.946,397.137,516.637,622.766,314.773
91.4,518.554,781.605,510.913,910.992,539.903,658.052,347.352,550.609,718.877,506.842,1064.51,932.133,1139.72,996.76,973.497,940.13,749.094,744.216,621.946,829.94,530.06,652.26,710.837,331.761,600.616
94.7,492.791,788.498,588.639,686.558,619.354,617.701,583.581,650.642,449.077,498.395,938.452,1200.72,906.104,720.47,664.096,816.132,799.657,603.122,595.201,650.926,346.919,598.857,206.646,442.963,691.906
98.2,460.93,461.074,701.411,546.85,382.683,637.852,467.066,526.157,486.911,309.726,1258.14,1109.66,1029.11,730.547,670.146,746.377,661.741,657.362,683.578,406.627,407.257,420.314,306.635,518.187,529.352
101.8,367.714,520.86,1370.72,482.852,700.346,467.484,442.145,659.235,542.876,605.007,914.678,1079.62,678.327,1132.11,956.082,658.216,673.579,613.417,565.775,638.778,781.689,694.854,535.603,376.726,401.97
105.5,394.708,656.393,644.526,604.285,768.335,512.308,777.712,619.483,699.167,441.073,1323.16,1118.92,1153.03,1004.23,1086.11,712.022,860.576,642.96,653.301,698.511,720.055,698.327,652.576,623.171,571.609
109.4,671.197,742.901,858.027,767.113,630.193,623.275,464.99,575.185,431.347,812.354,1378.37,1406.75,1121.49,1102.63,1174.42,759.848,973.056,1145.79,795.658,862.778,548.89,683.213,610.995,623.275,572.768
113.4,594.501,718.672,869.265,833.28,756.851,766.557,651.662,627.647,744.807,642.243,1499.03,1263.17,1095.07,895.113,940.734,1093.45,976.288,783.13,606.545,699.547,544.064,642.099,575.376,575.376,477.485
117.6,627.364,836.202,653.285,753.306,610.785,550.615,644.489,734.623,634.602,355.403,1300.02,1154.71,959.877,1029.86,1005.49,1012.73,814.325,753.306,795.806,786.769,900.416,631.408,693.681,511.309,720.147
121.9,705.232,713.378,540.017,762.942,673.665,594.24,611.296,528.689,741.227,660.861,1350.97,1385.8,938.01,1037.85,1125.88,944.144,751.079,615.725,729.899,779.16,746.421,756.503,596.962,657.144,581.205
126.3,558.38,626.63,858.628,721.571,659.563,748.198,642.182,740.979,651.787,728.37,1341.48,1082.85,1058.61,1129.73,969.478,992.249,1195.17,987.416,791.292,923.022,632.935,471.215,686.611,649.401,758.36
131,458.773,815.488,832.963,836.277,553.939,678.96,558.049,753.945,723.824,422.898,1140.17,1101.59,1238.65,832.963,1079.43,956.923,1068.5,816.815,832.432,865.789,448.644,662.547,668.3,744.082,750.897
135.8,740.152,757.044,723.261,628.666,674.174,575.999,1327.29,593.155,546.854,575.734,1185.25,1204.14,844.692,952.335,919.345,737.631,936.501,810.908,723.79,777.336,709.366,755.986,540.753,772.877,591.25
140.7,683.456,561.455,705.321,538.373,672.542,734.462,509.763,554.18,649.46,492.26,1410.64,1123.49,1362.06,881.965,901.992,761.181,659.791,784.795,712.596,896.995,903.688,623.374,835.852,505.012,733.737
145.9,577.926,801.534,521.744,688.809,606.717,559.666,672.391,544.688,526.829,723.087,983.577,1462.31,1206.91,1038.68,1082.85,1144.88,1031.39,832.931,747.194,672.391,619.491,587.418,461.155,443.296,495.834
151.2,666.283,616.334,540.316,677.637,635.682,506.133,582.98,579.398,502.551,503.26,1175.17,968.773,1116.13,963.754,1086.97,854.161,823.56,963.147,733.922,517.488,539.487,533.152,577.252,442.077,564.462
156.8,648.354,646.306,710.389,635.537,595.546,656.249,817.338,630.615,544.995,562.733,1107.01,904.907,1032.88,888.809,870.146,906.548,766.787,1202.58,720.233,832.103,703.419,504.287,486.549,748.123,581.397
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Inlet Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Low Voltage,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554,25.5554
High Voltage,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87,9357.87
