Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\Low 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	11:40:53	11:45:57	11:50:57	11:55:57	12:00:57	12:05:57	12:10:57	12:15:57	12:20:57	12:25:57	12:30:57	12:35:57	12:40:57	12:45:57	12:50:57	12:55:57	13:00:57	13:05:57	13:10:57	13:15:57	13:20:57	13:25:57	13:30:57	13:35:57	13:40:57
Diameter Midpoint
 51.4	921.406	1039.86	1170.27	1060.86	1174.24	651.283	872.437	1111.63	742.583	1062.98	1833.88	1491.17	1743.57	1637.42	1605.26	1486.81	1348.33	1211.09	1161.63	1108.27	1161.34	1485.03	1476.38	1138.41	1246.24
 53.3	774.034	886.321	1172.36	1215.55	1036.2	869.922	895.918	1088.31	818.935	832.262	2008.4	1711.99	1717.49	1779.09	1650.48	1100.76	1563.05	1336.96	1192.97	1739.49	1156.09	1374.99	1359.68	1124.99	1135.81
 55.2	871.339	503.623	935.307	1182.59	892.13	860.177	873.085	981.723	907.388	822.655	2029.5	1656.78	1263.91	2031.78	1606.06	1455.11	1876.74	1189.46	1456.63	1274.29	1551.07	968.964	940.151	1073.95	1186.12
 57.3	842.35	729.172	944.245	1061.74	687.513	842.035	994.409	1069.05	864.374	668.193	2009.59	1717.57	1823.16	1375	1488.73	1281.86	1530.25	1273.17	1221.19	1226.33	1432.08	1130.95	1184.34	1008.15	1061.57
 59.4	582.627	720.495	714.539	673.906	802.733	1146.63	673.922	689.537	626.101	574.524	2127.45	1849.22	1672.3	1198.42	1148.96	1603.6	1215.34	1240.95	1016.9	1154.65	1151.11	1308.2	1175.42	719.512	1088.25
 61.5	345.63	718.444	687.942	1011.25	1020.01	841.602	823.334	723.663	543.661	923.496	1972.53	1772.93	1620.54	1788.05	1573.83	1391.04	1548.96	1091.56	1323.74	1226.09	1347.77	941.286	815.908	882.548	778.691
 63.8	375.135	686.151	825.682	704.256	878.18	1052.1	610.433	777.183	737.199	530.464	1484.99	1850.41	1618.84	1270.96	1150.97	1492.21	1348.81	1397.52	928.331	1486.07	1139.02	959.939	957.624	591.889	1250.4
 66.1	543.404	625.122	1004.08	644.946	868.019	594.371	766.465	684.295	699.945	580.62	1662.38	1561.96	1299.46	1592.36	1885.05	1480.48	1357.18	1366.54	796.725	1084.27	1459.31	1032.67	1032.87	894.031	935.77
 68.5	670.13	1093.82	724.298	852.401	786.618	1114.02	654.871	485.158	563.237	532.631	1393.71	1407.36	1463.24	1379.13	1677.12	1442.36	911.432	1295.95	1127.24	866.043	880.674	1154.18	845.167	798.067	1173.03
 71.0	357.396	1040.56	864.797	774.639	616.903	437	693.977	696.383	566.266	510.579	1381.62	940.98	1180.82	1190.96	1505.02	1509.8	884.835	752.68	844.641	1227.51	1074.38	936.992	927.177	652.782	810.597
